COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Hewlett Packard Globalsoft,3.5,258,948,Bangalore / Bengaluru +7 other locations,"Company Culture, Work Life Balance, Job Security",,,,1k-5k  ,,68 years old
Varmora Granito,4,259,797,Building Material,"Promotions / Appraisal, Job Security, Company Culture",,Ahmedabad,60 other locations,501-1k  ,,11 years old
Emerald Jewel Industry India,3.6,258,1.4k,Jewellery,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,Coimbatore,13 other locations,501-1k  ,,44 years old
Algonomy,3.9,258,1.3k,Software Product,"Work Life Balance, Salary & Benefits, Company Culture",,Bangalore / Bengaluru,7 other locations,1k-5k  ,,55 years old
I P Integrated Services,4.1,258,785,Telecom,"Work Life Balance, Company Culture, Job Security",,Gurgaon / Gurugram,52 other locations,501-1k  ,,24 years old
Kd Logistics,3.8,258,876,Logistics,"Job Security, Promotions / Appraisal",,Mumbai,34 other locations,51-200  ,Public,10 years old
Normet,3.9,258,1k,Industrial Machinery,"Promotions / Appraisal, Job Security, Company Culture",,Jaipur,20 other locations,201-500  ,,20 years old
Jayashree Polymers,3.8,258,1.2k,Auto Components,"Skill Development / Learning, Work Satisfaction, Job Security",,Pune,9 other locations,1k-5k  ,Public,59 years old
Drydocks World Dubai,3.9,258,501,Ports & Shipping,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",Dubai,17 other locations,501-1k  ,Public,35 years old
Kirloskar Electric Company,3.6,259,1k,Electrical Equipment,"Job Security, Company Culture, Salary & Benefits",,Bangalore / Bengaluru,21 other locations,501-1k  ,,43 years old
Gracure Pharmaceuticals,3.5,258,1k,Pharma,"Promotions / Appraisal, Salary & Benefits, Job Security",,Bhiwadi,13 other locations,501-1k  ,,22 years old
Ummeed Housing Finance,3.9,258,1.1k,Financial Services,"Job Security, Work Life Balance",Promotions / Appraisal,Gurgaon / Gurugram,68 other locations,1k-5k  ,,71 years old
Reliance Fresh,4.3,258,558,Retail,"Salary & Benefits, Job Security, Skill Development / Learning",,New Delhi,60 other locations,1k-5k  ,, 
Propel Industries,3.8,258,1.5k,Industrial Machinery,"Job Security, Promotions / Appraisal, Skill Development / Learning",,Coimbatore,22 other locations,1k-5k  ,,13 years old
Cargo Service Center India,3.6,257,794,Logistics,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",New Delhi,11 other locations,501-1k  ,,145 years old
Himalaya Opticals,4.4,257,539,Retail,"Skill Development / Learning, Company Culture, Work Life Balance",,Kolkata,52 other locations,51-200  ,,28 years old
Eastern Software Solutions Pvt. Ltd,3.7,257,1k,IT Services & Consulting,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Noida,8 other locations,201-500  ,,165 years old
BARC,4.3,257,948,Defence & Aerospace,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",,Mumbai,24 other locations,201-500  ,,29 years old
Confederation of Indian Industry,3.2,257,1.4k,Law Enforcement & Security,"Promotions / Appraisal, Salary & Benefits",,New Delhi,40 other locations,501-1k  ,Public,49 years old
Duroshox,3.3,257,970,Auto Components,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",,Pune,3 other locations,  ,,26 years old
Zee Media Corporation,3.5,258,1.3k,Broadcasting,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,Noida,19 other locations,10k-50k  ,,24 years old
Emmvee Photovoltaic Power,3.7,257,942,Power,"Work Life Balance, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,13 other locations,501-1k  ,,14 years old
Zee Media Corporation,3.5,258,1.3k,Broadcasting,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,Noida,19 other locations,201-500  ,,37 years old
BARC,4.3,257,948,Defence & Aerospace,"Promotions / Appraisal, Company Culture, Work Satisfaction",,Mumbai,24 other locations,51-200  ,Public,35 years old
NIFTEL COMMUNICATIONS,3.1,257,637,BPO,"Skill Development / Learning, Work Life Balance, Company Culture",,Lucknow,15 other locations,1k-5k  ,,29 years old
Omega Healthcare Solutions,3.7,257,1.8k,Healthcare,"Promotions / Appraisal, Job Security",,Chennai,8 other locations,501-1k  ,,24 years old
Xtancia Technosoft,4,257,42,Software Product,"Job Security, Work Life Balance",,Chennai,2 other locations,1k-5k  ,Public,68 years old
UNICEF,4,256,688,Non-Profit,"Company Culture, Skill Development / Learning, Work Life Balance",,New Delhi,59 other locations,155 years old,, 
Nalco,4.1,256,758,Metals & Mining,"Job Security, Promotions / Appraisal",,Bhubaneswar,15 other locations,51-200  ,, 
Dnata,3.2,256,961,Aviation,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,Bangalore / Bengaluru,19 other locations,1k-5k  ,, 
Jbm Auto Components,4,256,1.2k,Auto Components,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,Chennai,36 other locations,201-500  ,,152 years old
Kosamattam Finance,3.7,256,805,NBFC,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security,Kottayam,80 other locations,201-500  ,,6 years old
Aqualite India,3.8,257,837,Fashion & Textile,Job Security,"Promotions / Appraisal, Salary & Benefits",New Delhi,37 other locations,201-500  ,,37 years old
Interface Microsystems,3.6,256,1.1k,Auto Components,"Job Security, Promotions / Appraisal, Salary & Benefits",,Gurgaon / Gurugram,9 other locations,51-200  ,,29 years old
Lee Pharma,3.5,256,1.2k,Pharma,"Skill Development / Learning, Work Life Balance, Job Security",,Hyderabad / Secunderabad,7 other locations,1k-5k  ,,17 years old
Reliable Autotech,4.2,256,1.1k,Auto Components,Skill Development / Learning,"Promotions / Appraisal, Job Security, Work Satisfaction",Pune,5 other locations,10k-50k   (Global),Public,24 years old
Nippon Express,3.9,255,1.2k,Logistics,"Promotions / Appraisal, Salary & Benefits, Job Security",,Bangalore / Bengaluru,34 other locations,501-1k  ,,35 years old
ICFAI Business School,3.5,255,952,Education & Training,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Hyderabad / Secunderabad,55 other locations,1k-5k   (Global),,39 years old
SHL,3.4,255,1.9k,Software Product,"Job Security, Promotions / Appraisal, Company Culture",,Gurgaon / Gurugram,15 other locations,201-500  ,,23 years old
Apex CoVantage,3.1,255,1.2k,IT Services & Consulting,Salary & Benefits,"Promotions / Appraisal, Job Security",Hyderabad / Secunderabad,10 other locations,201-500  ,Public,8 years old
Avanze Technologies,3.1,255,1.3k,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",,Bangalore / Bengaluru,4 other locations,501-1k  ,,14 years old
Altruist Customer Management India,3.6,255,1.1k,BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Chennai,13 other locations,501-1k  ,,25 years old
Rakon,3.7,256,1k,Electronics Manufacturing,"Salary & Benefits, Work Life Balance, Company Culture",,Bangalore / Bengaluru,4 other locations,1k-5k  ,,16 years old
Fashion TV,3.1,255,456,Retail,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Mumbai,13 other locations,501-1k  ,,17 years old
Brink's,4.1,255,644,Logistics,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Mumbai,47 other locations,Public,,25 years old
HyperCITY,4.6,255,389,Retail,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Mumbai,21 other locations,501-1k  ,, 
Gap,3.6,255,1.9k,Retail,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,Hyderabad / Secunderabad,25 other locations,10k-50k  ,,26 years old
MindCraft Software,3.5,255,1.8k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Mumbai,6 other locations,201-500  ,,38 years old
Black Box Corporation,2.8,255,1.6k,IT Services & Consulting,Salary & Benefits,"Job Security, Work Life Balance, Work Satisfaction",Bangalore / Bengaluru,17 other locations,201-500  ,,68 years old
Transworld Systems,3.2,255,1.2k,Financial Services,"Job Security, Company Culture, Work Satisfaction",,Bangalore / Bengaluru,5 other locations,201-500  ,Public,33 years old
Nesma & Partners,4.1,255,475,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction","Salary & Benefits, Promotions / Appraisal",Mumbai,24 other locations,5k-10k  ,,14 years old
Rosenberger Electronic,3.9,255,1.1k,Electronics Manufacturing,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",,Gurgaon / Gurugram,31 other locations,501-1k  ,,37 years old
TimesPro,3.4,255,1.3k,Mumbai +21 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",,,,201-500  ,,55 years old
Healthium Medtech,3.3,255,1.1k,Medical Equipment,"Work Life Balance, Company Culture, Skill Development / Learning",,Bangalore / Bengaluru,42 other locations,1k-5k   (Global),,164 years old
GrapplTech,4.8,254,13,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,11 other locations,5k-10k  ,,16 years old
Liberty Shoes,3.9,254,876,Fashion & Textile,"Promotions / Appraisal, Job Security, Work Life Balance",,Karnal,46 other locations,51-200  ,,8 years old
Sequential Technology International,4.1,254,897,BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Gurgaon / Gurugram,4 other locations,501-1k  ,Public,40 years old
